Color,Value,Variable,,,
#0a6ad5,80,SRAD,,,
#0a6de3,90,SRAD,,,
#0a6ee9,100,SRAD,,,
#0b72f7,111,SRAD,,,
#0b72f9,121,SRAD,,,
#0a71f8,131,SRAD,,,
#0a6cf0,141,SRAD,,,
#0a6bf0,151,SRAD,,,
#0b71f1,161,SRAD,,,
#0d79f3,171,SRAD,,,
#0d7cf4,181,SRAD,,,
#1089f8,191,SRAD,,,
#108ff9,201,SRAD,,,
#139cfd,211,SRAD,,,
#139dfd,222,SRAD,,,
#17a8fe,232,SRAD,,,
#18abfe,242,SRAD,,,
#1ab1fe,252,SRAD,,,
#1ab2fe,262,SRAD,,,
#1ebcfe,272,SRAD,,,
#20bcfe,282,SRAD,,,
#4bc4fe,292,SRAD,,,
#4dc4fe,302,SRAD,,,
#70cafe,312,SRAD,,,
#6ccafe,322,SRAD,,,
#9dd2fe,333,SRAD,,,
#99d2fe,343,SRAD,,,
#b1d7fe,353,SRAD,,,
#aed6fe,363,SRAD,,,
#c5dcfe,373,SRAD,,,
#c1dcfe,383,SRAD,,,
#d5e0fc,393,SRAD,,,
#d9e1fc,403,SRAD,,,
#e8e2f2,413,SRAD,,,
#e7e2f3,423,SRAD,,,
#f1e3ec,433,SRAD,,,
#f3e4eb,444,SRAD,,,
#fde1de,454,SRAD,,,
#fddfdc,464,SRAD,,,
#f9d4ca,474,SRAD,,,
#f9d5cb,484,SRAD,,,
#f8ccbb,494,SRAD,,,
#f8cdbc,504,SRAD,,,
#f5c3ab,514,SRAD,,,
#f5c3ad,524,SRAD,,,
#f1ba9e,534,SRAD,,,
#f1bba0,544,SRAD,,,
#efb496,555,SRAD,,,
#efb698,565,SRAD,,,
#eea88b,575,SRAD,,,
#eeab8d,585,SRAD,,,
#eda086,595,SRAD,,,
#eda186,605,SRAD,,,
#ec947e,615,SRAD,,,
#ec947e,625,SRAD,,,
#ea8b76,635,SRAD,,,
#e98772,645,SRAD,,,
#e67b66,655,SRAD,,,
#e57b67,666,SRAD,,,
#e8755a,676,SRAD,,,
#eb704e,686,SRAD,,,
#ee6d48,696,SRAD,,,
#f46537,706,SRAD,,,
#fc5b1f,716,SRAD,,,
#fd591c,726,SRAD,,,
#fd5f1b,736,SRAD,,,
#fe7219,746,SRAD,,,
#fe8419,756,SRAD,,,
#fe8319,766,SRAD,,,
#fea119,777,SRAD,,,
#fea119,787,SRAD,,,
#feb01b,797,SRAD,,,
#feb21d,807,SRAD,,,
#fec01f,817,SRAD,,,
#fec01f,827,SRAD,,,
#fdce25,837,SRAD,,,
#fdd226,847,SRAD,,,
#f9de3f,857,SRAD,,,
#f9df42,867,SRAD,,,
