Color,Value,Variable,,,
#e3f602,7.46,CO,,,
#e2f502,7.48,CO,,,
#e7f701,7.5,CO,,,
#ecfa01,7.52,CO,,,
#ebf901,7.54,CO,,,
#ecf901,7.56,CO,,,
#f0fa01,7.58,CO,,,
#f3fb01,7.6,CO,,,
#f4fb01,7.62,CO,,,
#f3fb01,7.64,CO,,,
#f7fc01,7.66,CO,,,
#fdfd00,7.68,CO,,,
#fcfd00,7.7,CO,,,
#fefc00,7.72,CO,,,
#fefa00,7.74,CO,,,
#fef900,7.76,CO,,,
#fefa00,7.78,CO,,,
#fef800,7.8,CO,,,
#fef500,7.82,CO,,,
#feee00,7.84,CO,,,
#feec00,7.86,CO,,,
#feee00,7.88,CO,,,
#feeb00,7.9,CO,,,
#fee800,7.92,CO,,,
#fee900,7.94,CO,,,
#fee800,7.96,CO,,,
#fee500,7.98,CO,,,
#fedf00,8,CO,,,
#fedc00,8.02,CO,,,
#fede00,8.04,CO,,,
#fedb00,8.06,CO,,,
#fed800,8.08,CO,,,
#fed900,8.1,CO,,,
#fed500,8.12,CO,,,
#fed200,8.14,CO,,,
#fed000,8.16,CO,,,
#fed200,8.18,CO,,,
#fece00,8.2,CO,,,
#fec800,8.22,CO,,,
#fec900,8.24,CO,,,
#fec500,8.26,CO,,,
#fec600,8.28,CO,,,
#fec300,8.3,CO,,,
#fec000,8.32,CO,,,
#fec200,8.34,CO,,,
#febf00,8.36,CO,,,
#feb900,8.38,CO,,,
#feba00,8.4,CO,,,
#feb700,8.42,CO,,,
#feb600,8.44,CO,,,
#feb700,8.46,CO,,,
#feb400,8.48,CO,,,
#feb000,8.5,CO,,,
#feb100,8.52,CO,,,
#feb000,8.54,CO,,,
#fead00,8.56,CO,,,
#feae00,8.58,CO,,,
#fea700,8.6,CO,,,
#fea400,8.62,CO,,,
#fea500,8.64,CO,,,
#fea400,8.66,CO,,,
#fea200,8.68,CO,,,
#fe9e00,8.7,CO,,,
#fe9f00,8.72,CO,,,
#fe9b00,8.74,CO,,,
#fe9900,8.76,CO,,,
#fe9b00,8.78,CO,,,
#fe9800,8.8,CO,,,
#fe9100,8.82,CO,,,
#fe9200,8.84,CO,,,
#fe8e00,8.86,CO,,,
#fe8f00,8.88,CO,,,
#fe8c00,8.9,CO,,,
#fe8900,8.92,CO,,,
#fe8b00,8.94,CO,,,
#fe8800,8.96,CO,,,
#fe8200,8.98,CO,,,
#fe7f00,9,CO,,,
#fe7e00,9.02,CO,,,
#fe7f00,9.04,CO,,,
#fe7c00,9.06,CO,,,
#fe7900,9.08,CO,,,
#fe7a00,9.1,CO,,,
#fe7600,9.12,CO,,,
#fe7700,9.14,CO,,,
#fe7100,9.16,CO,,,
#fe6d00,9.18,CO,,,
#fe6f00,9.2,CO,,,
#fe6d00,9.22,CO,,,
#fe6900,9.24,CO,,,
#fe6a00,9.26,CO,,,
#fe6700,9.28,CO,,,
#fe6800,9.3,CO,,,
#fe6200,9.32,CO,,,
#fe5e00,9.34,CO,,,
#fe5f00,9.36,CO,,,
#fe5e00,9.38,CO,,,
#fe5b00,9.4,CO,,,
#fe5800,9.42,CO,,,
#fe5700,9.44,CO,,,
#fe5800,9.46,CO,,,
#fe5500,9.48,CO,,,
#fe5200,9.5,CO,,,
#fe5400,9.52,CO,,,
#fe5200,9.54,CO,,,
#fe4b00,9.56,CO,,,
#fe4800,9.58,CO,,,
#fe4600,9.6,CO,,,
#fe4800,9.62,CO,,,
#fe4500,9.64,CO,,,
#fe4200,9.66,CO,,,
#fe4400,9.68,CO,,,
#fe4300,9.7,CO,,,
#fe3b00,9.72,CO,,,
#fe3a00,9.74,CO,,,
#fe3c00,9.76,CO,,,
#fe3800,9.78,CO,,,
#fe3600,9.8,CO,,,
#fe3800,9.82,CO,,,
#fe3600,9.84,CO,,,
#fe3300,9.86,CO,,,
#fe3000,9.88,CO,,,
#fe2f00,9.9,CO,,,
#fe3000,9.92,CO,,,
#fe2b00,9.94,CO,,,
#fe2700,9.96,CO,,,
#fe2800,9.98,CO,,,
#fe2700,10,CO,,,
#fe2400,10.02,CO,,,
#fe2100,10.04,CO,,,
#fe2000,10.06,CO,,,
#fe2100,10.08,CO,,,
#fe1e00,10.1,CO,,,
#fe1b00,10.12,CO,,,
#fe1d00,10.14,CO,,,
#fe1b00,10.16,CO,,,
#fe1300,10.18,CO,,,
#fe1000,10.2,CO,,,
#fe0e00,10.22,CO,,,
#fe0f00,10.24,CO,,,
#fe0e00,10.26,CO,,,
#fe0c00,10.28,CO,,,
#fe0500,10.3,CO,,,
#fe0300,10.32,CO,,,
#fe0500,10.34,CO,,,
#fe0200,10.36,CO,,,
#fe0000,10.38,CO,,,
#ff0000,10.4,CO,,,
#e70000,10.42,CO,,,
#9a0000,10.44,CO,,,
#480000,10.46,CO,,,
#ffffff,0,NO2,,,
#fbfbfe,0.535,NO2,,,
#f9f9fe,1.07,NO2,,,
#fbfbfe,1.605,NO2,,,
#f8f8fe,2.14,NO2,,,
#f1f1fe,2.675,NO2,,,
#f2f2fe,3.21,NO2,,,
#efeffe,3.745,NO2,,,
#f0f0fe,4.28,NO2,,,
#ededfe,4.815,NO2,,,
#eaeafe,5.35,NO2,,,
#ececfe,5.885,NO2,,,
#e9e9fe,6.42,NO2,,,
#e2e2fe,6.955,NO2,,,
#dfdffe,7.49,NO2,,,
#dedefe,8.025,NO2,,,
#dfdffe,8.56,NO2,,,
#dcdcfe,9.095,NO2,,,
#d9d9fe,9.63,NO2,,,
#dadafe,10.165,NO2,,,
#d6d6fe,10.7,NO2,,,
#d7d7fe,11.235,NO2,,,
#d1d1fe,11.77,NO2,,,
#cecefe,12.305,NO2,,,
#d0d0fe,12.84,NO2,,,
#cecefe,13.375,NO2,,,
#cbcbfe,13.91,NO2,,,
#c7c7fe,14.445,NO2,,,
#c8c8fe,14.98,NO2,,,
#c2c2fe,15.515,NO2,,,
#bebefe,16.05,NO2,,,
#bfbffe,16.585,NO2,,,
#bebefe,17.12,NO2,,,
#bbbbfe,17.655,NO2,,,
#b8b8fe,18.19,NO2,,,
#b7b7fe,18.725,NO2,,,
#b8b8fe,19.26,NO2,,,
#b5b5fe,19.795,NO2,,,
#b2b2fe,20.33,NO2,,,
#b4b4fe,20.865,NO2,,,
#b2b2fe,21.4,NO2,,,
#ababfe,21.935,NO2,,,
#a8a8fe,22.47,NO2,,,
#a6a6fe,23.005,NO2,,,
#a8a8fe,23.54,NO2,,,
#a6a6fe,24.075,NO2,,,
#a2a2fe,24.61,NO2,,,
#a3a3fe,25.145,NO2,,,
#9f9ffe,25.68,NO2,,,
#a0a0fe,26.215,NO2,,,
#9a9afe,26.75,NO2,,,
#9696fe,27.285,NO2,,,
#9797fe,27.82,NO2,,,
#9696fe,28.355,NO2,,,
#9494fe,28.89,NO2,,,
#9191fe,29.425,NO2,,,
#9090fe,29.96,NO2,,,
#9191fe,30.495,NO2,,,
#8c8cfe,31.03,NO2,,,
#8787fe,31.565,NO2,,,
#8888fe,32.1,NO2,,,
#8787fe,32.635,NO2,,,
#8484fe,33.17,NO2,,,
#8181fe,33.705,NO2,,,
#8080fe,34.24,NO2,,,
#8181fe,34.775,NO2,,,
#7e7efe,35.31,NO2,,,
#7b7bfe,35.845,NO2,,,
#7d7dfe,36.38,NO2,,,
#7b7bfe,36.915,NO2,,,
#7474fe,37.45,NO2,,,
#7575fe,37.985,NO2,,,
#7171fe,38.52,NO2,,,
#6f6ffe,39.055,NO2,,,
#7171fe,39.59,NO2,,,
#6f6ffe,40.125,NO2,,,
#6c6cfe,40.66,NO2,,,
#6565fe,41.195,NO2,,,
#6363fe,41.73,NO2,,,
#6565fe,42.265,NO2,,,
#6262fe,42.8,NO2,,,
#5f5ffe,43.335,NO2,,,
#6060fe,43.87,NO2,,,
#5f5ffe,44.405,NO2,,,
#5c5cfe,44.94,NO2,,,
#5a5afe,45.475,NO2,,,
#5959fe,46.01,NO2,,,
#5a5afe,46.545,NO2,,,
#5555fe,47.08,NO2,,,
#5050fe,47.615,NO2,,,
#5151fe,48.15,NO2,,,
#4d4dfe,48.685,NO2,,,
#4e4efe,49.22,NO2,,,
#4949fe,49.755,NO2,,,
#4747fe,50.29,NO2,,,
#4949fe,50.825,NO2,,,
#4545fe,51.36,NO2,,,
#3f3ffe,51.895,NO2,,,
#4040fe,52.43,NO2,,,
#3d3dfe,52.965,NO2,,,
#3e3efe,53.5,NO2,,,
#3b3bfe,54.035,NO2,,,
#3838fe,54.57,NO2,,,
#3a3afe,55.105,NO2,,,
#3838fe,55.64,NO2,,,
#3535fe,56.175,NO2,,,
#2e2efe,56.71,NO2,,,
#2c2cfe,57.245,NO2,,,
#2e2efe,57.78,NO2,,,
#2b2bfe,58.315,NO2,,,
#2828fe,58.85,NO2,,,
#2929fe,59.385,NO2,,,
#2828fe,59.92,NO2,,,
#2525fe,60.455,NO2,,,
#2222fe,60.99,NO2,,,
#2121fe,61.525,NO2,,,
#2222fe,62.06,NO2,,,
#1e1efe,62.595,NO2,,,
#1818fe,63.13,NO2,,,
#1919fe,63.665,NO2,,,
#1515fe,64.2,NO2,,,
#1616fe,64.735,NO2,,,
#1212fe,65.27,NO2,,,
#1010fe,65.805,NO2,,,
#1212fe,66.34,NO2,,,
#0f0ffe,66.875,NO2,,,
#0808fe,67.41,NO2,,,
#0909fe,67.945,NO2,,,
#0505fe,68.48,NO2,,,
#0606fe,69.015,NO2,,,
#0303fe,69.55,NO2,,,
#0101fe,70.085,NO2,,,
#0202fe,70.62,NO2,,,
#0002fc,71.155,NO2,,,
#0006f6,71.69,NO2,,,
#0008f3,72.225,NO2,,,
#0006f5,72.76,NO2,,,
#0008f2,73.295,NO2,,,
#000bef,73.83,NO2,,,
#000af0,74.365,NO2,,,
#010ced,74.9,NO2,,,
#010bee,75.435,NO2,,,
#0110e7,75.97,NO2,,,
#0113e4,76.505,NO2,,,
#0112e5,77.04,NO2,,,
#0113e4,77.575,NO2,,,
#0115e2,78.11,NO2,,,
#0118de,78.645,NO2,,,
#011adc,79.18,NO2,,,
#011bdb,79.715,NO2,,,
#011adc,80.25,NO2,,,
#011cd9,80.785,NO2,,,
#0120d2,81.32,NO2,,,
#0120d3,81.855,NO2,,,
#0223d0,82.39,NO2,,,
#0223cf,82.925,NO2,,,
#0222d0,83.46,NO2,,,
#0224cd,83.995,NO2,,,
#0227ca,84.53,NO2,,,
#0226cc,85.065,NO2,,,
#0227ca,85.6,NO2,,,
#022bc4,86.135,NO2,,,
#022dc1,86.67,NO2,,,
#022ebf,87.205,NO2,,,
#022ec0,87.74,NO2,,,
#022fbf,88.275,NO2,,,
#0231bd,88.81,NO2,,,
#0233b9,89.345,NO2,,,
#0232ba,89.88,NO2,,,
#0337b4,90.415,NO2,,,
#033ab0,90.95,NO2,,,
#0339b1,91.485,NO2,,,
#033ab0,92.02,NO2,,,
#033bae,92.555,NO2,,,
#033eaa,93.09,NO2,,,
#033dab,93.625,NO2,,,
#0340a8,94.16,NO2,,,
#0342a6,94.695,NO2,,,
#0340a8,95.23,NO2,,,
#0342a5,95.765,NO2,,,
#03479f,96.3,NO2,,,
#03499c,96.835,NO2,,,
#034a9b,97.37,NO2,,,
#03499c,97.905,NO2,,,
#034b99,98.44,NO2,,,
#044e96,98.975,NO2,,,
#044d98,99.51,NO2,,,
#044e96,100.045,NO2,,,
#045290,100.58,NO2,,,
#04548e,101.115,NO2,,,
#04558d,101.65,NO2,,,
#04558e,102.185,NO2,,,
#04568c,102.72,NO2,,,
#045888,103.255,NO2,,,
#045889,103.79,NO2,,,
#045a85,104.325,NO2,,,
#045986,104.86,NO2,,,
#045e81,105.395,NO2,,,
#04617d,105.93,NO2,,,
#04607e,106.465,NO2,,,
#04607d,107,NO2,,,
#04627a,107.535,NO2,,,
#046477,108.07,NO2,,,
#046576,108.605,NO2,,,
#046477,109.14,NO2,,,
#046773,109.675,NO2,,,
#056b6e,110.21,NO2,,,
#056a6f,110.745,NO2,,,
#056b6e,111.28,NO2,,,
#056e6b,111.815,NO2,,,
#057068,112.35,NO2,,,
#057166,112.885,NO2,,,
#057168,113.42,NO2,,,
#057265,113.955,NO2,,,
#057462,114.49,NO2,,,
#057463,115.025,NO2,,,
#05795c,115.56,NO2,,,
#05795d,116.095,NO2,,,
#057b59,116.63,NO2,,,
#057c57,117.165,NO2,,,
#057c58,117.7,NO2,,,
#057d57,118.235,NO2,,,
#067e55,118.77,NO2,,,
#06834e,119.305,NO2,,,
#06854c,119.84,NO2,,,
#06834e,120.375,NO2,,,
#06864b,120.91,NO2,,,
#068849,121.445,NO2,,,
#06874a,121.98,NO2,,,
#068749,122.515,NO2,,,
#068946,123.05,NO2,,,
#068b43,123.585,NO2,,,
#068c42,124.12,NO2,,,
#068b43,124.655,NO2,,,
#068e3f,125.19,NO2,,,
#06923a,125.725,NO2,,,
#06913b,126.26,NO2,,,
#079437,126.795,NO2,,,
#079634,127.33,NO2,,,
#079732,127.865,NO2,,,
#079733,128.4,NO2,,,
#079832,128.935,NO2,,,
#079a30,129.47,NO2,,,
#079f29,130.005,NO2,,,
#07a027,130.54,NO2,,,
#07a029,131.075,NO2,,,
#07a226,131.61,NO2,,,
#07a423,132.145,NO2,,,
#07a324,132.68,NO2,,,
#07a323,133.215,NO2,,,
#07a521,133.75,NO2,,,
#08aa1b,134.285,NO2,,,
#08ac19,134.82,NO2,,,
#08ab1b,135.355,NO2,,,
#08ac18,135.89,NO2,,,
#08ad15,136.425,NO2,,,
#08ad16,136.96,NO2,,,
#08ad15,137.495,NO2,,,
#08b012,138.03,NO2,,,
#09b210,138.565,NO2,,,
#09b30f,139.1,NO2,,,
#08b30f,139.635,NO2,,,
#0cb40f,140.17,NO2,,,
#12b50e,140.705,NO2,,,
#11b50e,141.24,NO2,,,
#15b60e,141.775,NO2,,,
#14b60e,142.31,NO2,,,
#18b70e,142.845,NO2,,,
#1ab70e,143.38,NO2,,,
#18b70e,143.915,NO2,,,
#1bb80e,144.45,NO2,,,
#22ba0e,144.985,NO2,,,
#21ba0e,145.52,NO2,,,
#24bb0d,146.055,NO2,,,
#25bb0d,146.59,NO2,,,
#24bb0d,147.125,NO2,,,
#27bc0d,147.66,NO2,,,
#2abd0d,148.195,NO2,,,
#29bd0d,148.73,NO2,,,
#2abd0d,149.265,NO2,,,
#2dbe0d,149.8,NO2,,,
#32c00d,150.335,NO2,,,
#35c00d,150.87,NO2,,,
#33c00d,151.405,NO2,,,
#36c00d,151.94,NO2,,,
#39c10c,152.475,NO2,,,
#38c10c,153.01,NO2,,,
#3cc30c,153.545,NO2,,,
#3bc30c,154.08,NO2,,,
#42c40b,154.615,NO2,,,
#46c50b,155.15,NO2,,,
#44c50b,155.685,NO2,,,
#46c50b,156.22,NO2,,,
#49c60b,156.755,NO2,,,
#4dc70b,157.29,NO2,,,
#4fc80b,157.825,NO2,,,
#51c80b,158.36,NO2,,,
#4fc80b,158.895,NO2,,,
#52c90b,159.43,NO2,,,
#59cb0a,159.965,NO2,,,
#58cb0a,160.5,NO2,,,
#5bcc0a,161.035,NO2,,,
#5ccc0a,161.57,NO2,,,
#5bcc0a,162.105,NO2,,,
#5ecd0a,162.64,NO2,,,
#61ce09,163.175,NO2,,,
#60ce09,163.71,NO2,,,
#61ce09,164.245,NO2,,,
#65cf09,164.78,NO2,,,
#64cf09,165.315,NO2,,,
#6ad109,165.85,NO2,,,
#6dd209,166.385,NO2,,,
#6bd209,166.92,NO2,,,
#6dd209,167.455,NO2,,,
#71d309,167.99,NO2,,,
#70d309,168.525,NO2,,,
#74d408,169.06,NO2,,,
#73d408,169.595,NO2,,,
#79d508,170.13,NO2,,,
#7dd608,170.665,NO2,,,
#7bd608,171.2,NO2,,,
#7dd608,171.735,NO2,,,
#81d708,172.27,NO2,,,
#84d908,172.805,NO2,,,
#85d908,173.34,NO2,,,
#84d908,173.875,NO2,,,
#87da07,174.41,NO2,,,
#8ada07,174.945,NO2,,,
#88da07,175.48,NO2,,,
#8ada07,176.015,NO2,,,
#90dc07,176.55,NO2,,,
#93dd06,177.085,NO2,,,
#94dd06,177.62,NO2,,,
#93dd06,178.155,NO2,,,
#96dd06,178.69,NO2,,,
#99de06,179.225,NO2,,,
#97de06,179.76,NO2,,,
#99de06,180.295,NO2,,,
#a0e106,180.83,NO2,,,
#9fe106,181.365,NO2,,,
#a3e206,181.9,NO2,,,
#a5e306,182.435,NO2,,,
#a3e306,182.97,NO2,,,
#a5e306,183.505,NO2,,,
#a8e405,184.04,NO2,,,
#ace505,184.575,NO2,,,
#abe505,185.11,NO2,,,
#b0e604,185.645,NO2,,,
#b5e704,186.18,NO2,,,
#b4e704,186.715,NO2,,,
#b5e704,187.25,NO2,,,
#b8e904,187.785,NO2,,,
#bbea04,188.32,NO2,,,
#bcea04,188.855,NO2,,,
#bbea04,189.39,NO2,,,
#c0eb04,189.925,NO2,,,
#c5ec04,190.46,NO2,,,
#c4ec04,190.995,NO2,,,
#c8ed03,191.53,NO2,,,
#cbee03,192.065,NO2,,,
#cdee03,192.6,NO2,,,
#cbee03,193.135,NO2,,,
#cdef03,193.67,NO2,,,
#d1f003,194.205,NO2,,,
#d0f003,194.74,NO2,,,
#d7f203,195.275,NO2,,,
#d9f203,195.81,NO2,,,
#d7f203,196.345,NO2,,,
#daf302,196.88,NO2,,,
#ddf402,197.415,NO2,,,
#dbf402,197.95,NO2,,,
#ddf402,198.485,NO2,,,
#e0f502,199.02,NO2,,,
#e3f602,199.555,NO2,,,
#e2f502,200.09,NO2,,,
#e7f701,200.625,NO2,,,
#ecfa01,201.16,NO2,,,
#ebf901,201.695,NO2,,,
#ecf901,202.23,NO2,,,
#f0fa01,202.765,NO2,,,
#f3fb01,203.3,NO2,,,
#f4fb01,203.835,NO2,,,
#f3fb01,204.37,NO2,,,
#f7fc01,204.905,NO2,,,
#fdfd00,205.44,NO2,,,
#fcfd00,205.975,NO2,,,
#fefc00,206.51,NO2,,,
#fefa00,207.045,NO2,,,
#fef900,207.58,NO2,,,
#fefa00,208.115,NO2,,,
#fef800,208.65,NO2,,,
#fef500,209.185,NO2,,,
#feee00,209.72,NO2,,,
#feec00,210.255,NO2,,,
#feee00,210.79,NO2,,,
#feeb00,211.325,NO2,,,
#fee800,211.86,NO2,,,
#fee900,212.395,NO2,,,
#fee800,212.93,NO2,,,
#fee500,213.465,NO2,,,
#fedf00,214,NO2,,,
#fedc00,214.535,NO2,,,
#fede00,215.07,NO2,,,
#fedb00,215.605,NO2,,,
#fed800,216.14,NO2,,,
#fed900,216.675,NO2,,,
#fed500,217.21,NO2,,,
#fed200,217.745,NO2,,,
#fed000,218.28,NO2,,,
#fed200,218.815,NO2,,,
#fece00,219.35,NO2,,,
#fec800,219.885,NO2,,,
#fec900,220.42,NO2,,,
#fec500,220.955,NO2,,,
#fec600,221.49,NO2,,,
#fec300,222.025,NO2,,,
#fec000,222.56,NO2,,,
#fec200,223.095,NO2,,,
#febf00,223.63,NO2,,,
#feb900,224.165,NO2,,,
#feba00,224.7,NO2,,,
#feb700,225.235,NO2,,,
#feb600,225.77,NO2,,,
#feb700,226.305,NO2,,,
#feb400,226.84,NO2,,,
#feb000,227.375,NO2,,,
#feb100,227.91,NO2,,,
#feb000,228.445,NO2,,,
#fead00,228.98,NO2,,,
#feae00,229.515,NO2,,,
#fea700,230.05,NO2,,,
#fea400,230.585,NO2,,,
#fea500,231.12,NO2,,,
#fea400,231.655,NO2,,,
#fea200,232.19,NO2,,,
#fe9e00,232.725,NO2,,,
#fe9f00,233.26,NO2,,,
#fe9b00,233.795,NO2,,,
#fe9900,234.33,NO2,,,
#fe9b00,234.865,NO2,,,
#fe9800,235.4,NO2,,,
#fe9100,235.935,NO2,,,
#fe9200,236.47,NO2,,,
#fe8e00,237.005,NO2,,,
#fe8f00,237.54,NO2,,,
#fe8c00,238.075,NO2,,,
#fe8900,238.61,NO2,,,
#fe8b00,239.145,NO2,,,
#fe8800,239.68,NO2,,,
#fe8200,240.215,NO2,,,
#fe7f00,240.75,NO2,,,
#fe7e00,241.285,NO2,,,
#fe7f00,241.82,NO2,,,
#fe7c00,242.355,NO2,,,
#fe7900,242.89,NO2,,,
#fe7a00,243.425,NO2,,,
#fe7600,243.96,NO2,,,
#fe7700,244.495,NO2,,,
#fe7100,245.03,NO2,,,
#fe6d00,245.565,NO2,,,
#fe6f00,246.1,NO2,,,
#fe6d00,246.635,NO2,,,
#fe6900,247.17,NO2,,,
#fe6a00,247.705,NO2,,,
#fe6700,248.24,NO2,,,
#fe6800,248.775,NO2,,,
#fe6200,249.31,NO2,,,
#fe5e00,249.845,NO2,,,
#fe5f00,250.38,NO2,,,
#fe5e00,250.915,NO2,,,
#fe5b00,251.45,NO2,,,
#fe5800,251.985,NO2,,,
#fe5700,252.52,NO2,,,
#fe5800,253.055,NO2,,,
#fe5500,253.59,NO2,,,
#fe5200,254.125,NO2,,,
#fe5400,254.66,NO2,,,
#fe5200,255.195,NO2,,,
#fe4b00,255.73,NO2,,,
#fe4800,256.265,NO2,,,
#fe4600,256.8,NO2,,,
#fe4800,257.335,NO2,,,
#fe4500,257.87,NO2,,,
#fe4200,258.405,NO2,,,
#fe4400,258.94,NO2,,,
#fe4300,259.475,NO2,,,
#fe3b00,260.01,NO2,,,
#fe3a00,260.545,NO2,,,
#fe3c00,261.08,NO2,,,
#fe3800,261.615,NO2,,,
#fe3600,262.15,NO2,,,
#fe3800,262.685,NO2,,,
#fe3600,263.22,NO2,,,
#fe3300,263.755,NO2,,,
#fe3000,264.29,NO2,,,
#fe2f00,264.825,NO2,,,
#fe3000,265.36,NO2,,,
#fe2b00,265.895,NO2,,,
#fe2700,266.43,NO2,,,
#fe2800,266.965,NO2,,,
#fe2700,267.5,NO2,,,
#fe2400,268.035,NO2,,,
#fe2100,268.57,NO2,,,
#fe2000,269.105,NO2,,,
#fe2100,269.64,NO2,,,
#fe1e00,270.175,NO2,,,
#fe1b00,270.71,NO2,,,
#fe1d00,271.245,NO2,,,
#fe1b00,271.78,NO2,,,
#fe1300,272.315,NO2,,,
#fe1000,272.85,NO2,,,
#fe0e00,273.385,NO2,,,
#fe0f00,273.92,NO2,,,
#fe0e00,274.455,NO2,,,
#fe0c00,274.99,NO2,,,
#fe0500,275.525,NO2,,,
#fe0300,276.06,NO2,,,
#fe0500,276.595,NO2,,,
#fe0200,277.13,NO2,,,
#fe0000,277.665,NO2,,,
#ff0000,278.2,NO2,,,
#e70000,278.735,NO2,,,
#9a0000,279.27,NO2,,,
#480000,280,NO2,,,
#ffffff,0,O3,,,
#fbfbfe,0.287,O3,,,
#f9f9fe,0.574,O3,,,
#fbfbfe,0.861,O3,,,
#f8f8fe,1.148,O3,,,
#f1f1fe,1.435,O3,,,
#f2f2fe,1.722,O3,,,
#efeffe,2.009,O3,,,
#f0f0fe,2.296,O3,,,
#ededfe,2.583,O3,,,
#eaeafe,2.87,O3,,,
#ececfe,3.157,O3,,,
#e9e9fe,3.444,O3,,,
#e2e2fe,3.731,O3,,,
#dfdffe,4.018,O3,,,
#dedefe,4.305,O3,,,
#dfdffe,4.592,O3,,,
#dcdcfe,4.879,O3,,,
#d9d9fe,5.166,O3,,,
#dadafe,5.453,O3,,,
#d6d6fe,5.74,O3,,,
#d7d7fe,6.027,O3,,,
#d1d1fe,6.314,O3,,,
#cecefe,6.601,O3,,,
#d0d0fe,6.888,O3,,,
#cecefe,7.175,O3,,,
#cbcbfe,7.462,O3,,,
#c7c7fe,7.749,O3,,,
#c8c8fe,8.036,O3,,,
#c2c2fe,8.323,O3,,,
#bebefe,8.61,O3,,,
#bfbffe,8.897,O3,,,
#bebefe,9.184,O3,,,
#bbbbfe,9.471,O3,,,
#b8b8fe,9.758,O3,,,
#b7b7fe,10.045,O3,,,
#b8b8fe,10.332,O3,,,
#b5b5fe,10.619,O3,,,
#b2b2fe,10.906,O3,,,
#b4b4fe,11.193,O3,,,
#b2b2fe,11.48,O3,,,
#ababfe,11.767,O3,,,
#a8a8fe,12.054,O3,,,
#a6a6fe,12.341,O3,,,
#a8a8fe,12.628,O3,,,
#a6a6fe,12.915,O3,,,
#a2a2fe,13.202,O3,,,
#a3a3fe,13.489,O3,,,
#9f9ffe,13.776,O3,,,
#a0a0fe,14.063,O3,,,
#9a9afe,14.35,O3,,,
#9696fe,14.637,O3,,,
#9797fe,14.924,O3,,,
#9696fe,15.211,O3,,,
#9494fe,15.498,O3,,,
#9191fe,15.785,O3,,,
#9090fe,16.072,O3,,,
#9191fe,16.359,O3,,,
#8c8cfe,16.646,O3,,,
#8787fe,16.933,O3,,,
#8888fe,17.22,O3,,,
#8787fe,17.507,O3,,,
#8484fe,17.794,O3,,,
#8181fe,18.081,O3,,,
#8080fe,18.368,O3,,,
#8181fe,18.655,O3,,,
#7e7efe,18.942,O3,,,
#7b7bfe,19.229,O3,,,
#7d7dfe,19.516,O3,,,
#7b7bfe,19.803,O3,,,
#7474fe,20.09,O3,,,
#7575fe,20.377,O3,,,
#7171fe,20.664,O3,,,
#6f6ffe,20.951,O3,,,
#7171fe,21.238,O3,,,
#6f6ffe,21.525,O3,,,
#6c6cfe,21.812,O3,,,
#6565fe,22.099,O3,,,
#6363fe,22.386,O3,,,
#6565fe,22.673,O3,,,
#6262fe,22.96,O3,,,
#5f5ffe,23.247,O3,,,
#6060fe,23.534,O3,,,
#5f5ffe,23.821,O3,,,
#5c5cfe,24.108,O3,,,
#5a5afe,24.395,O3,,,
#5959fe,24.682,O3,,,
#5a5afe,24.969,O3,,,
#5555fe,25.256,O3,,,
#5050fe,25.543,O3,,,
#5151fe,25.83,O3,,,
#4d4dfe,26.117,O3,,,
#4e4efe,26.404,O3,,,
#4949fe,26.691,O3,,,
#4747fe,26.978,O3,,,
#4949fe,27.265,O3,,,
#4545fe,27.552,O3,,,
#3f3ffe,27.839,O3,,,
#4040fe,28.126,O3,,,
#3d3dfe,28.413,O3,,,
#3e3efe,28.7,O3,,,
#3b3bfe,28.987,O3,,,
#3838fe,29.274,O3,,,
#3a3afe,29.561,O3,,,
#3838fe,29.848,O3,,,
#3535fe,30.135,O3,,,
#2e2efe,30.422,O3,,,
#2c2cfe,30.709,O3,,,
#2e2efe,30.996,O3,,,
#2b2bfe,31.283,O3,,,
#2828fe,31.57,O3,,,
#2929fe,31.857,O3,,,
#2828fe,32.144,O3,,,
#2525fe,32.431,O3,,,
#2222fe,32.718,O3,,,
#2121fe,33.005,O3,,,
#2222fe,33.292,O3,,,
#1e1efe,33.579,O3,,,
#1818fe,33.866,O3,,,
#1919fe,34.153,O3,,,
#1515fe,34.44,O3,,,
#1616fe,34.727,O3,,,
#1212fe,35.014,O3,,,
#1010fe,35.301,O3,,,
#1212fe,35.588,O3,,,
#0f0ffe,35.875,O3,,,
#0808fe,36.162,O3,,,
#0909fe,36.449,O3,,,
#0505fe,36.736,O3,,,
#0606fe,37.023,O3,,,
#0303fe,37.31,O3,,,
#0101fe,37.597,O3,,,
#0202fe,37.884,O3,,,
#0002fc,38.171,O3,,,
#0006f6,38.458,O3,,,
#0008f3,38.745,O3,,,
#0006f5,39.032,O3,,,
#0008f2,39.319,O3,,,
#000bef,39.606,O3,,,
#000af0,39.893,O3,,,
#010ced,40.18,O3,,,
#010bee,40.467,O3,,,
#0110e7,40.754,O3,,,
#0113e4,41.041,O3,,,
#0112e5,41.328,O3,,,
#0113e4,41.615,O3,,,
#0115e2,41.902,O3,,,
#0118de,42.189,O3,,,
#011adc,42.476,O3,,,
#011bdb,42.763,O3,,,
#011adc,43.05,O3,,,
#011cd9,43.337,O3,,,
#0120d2,43.624,O3,,,
#0120d3,43.911,O3,,,
#0223d0,44.198,O3,,,
#0223cf,44.485,O3,,,
#0222d0,44.772,O3,,,
#0224cd,45.059,O3,,,
